item_id,product_code,brand,car_name,series,case,color,year,condition,buy_price,listed_price,sold_price,profit,status,platform,date_bought,date_listed,date_sold,location,notes,days_listed,photo_url
HW-SUPRA-01,SUPRA-MK4,Hot Wheels,Toyota Supra MK4,.,A,red,2023.0,Mint,200.0,550.0,600.0,400.0,sold,Instagram,2025-12-01,2025-12-10,2025-12-10,Box A,"Fresh card, clean edges",0.0,
HW-R34-01,SKYLINE-R34,Hot Wheels,Nissan Skyline R34,JDM,C,blue,2022.0,Mint,400.0,700.0,700.0,300.0,sold,WhatsApp,2025-11-15,2025-11-20,2025-11-25,Box D,High demand,5.0,
HW-MUST-01,MUSTANG-GT,Hot Wheels,Ford Mustang GT,Muscle,D,black,2021.0,Good,200.0,450.0,420.0,220.0,sold,Instagram,2025-10-01,2025-10-10,2025-11-15,Box D,Minor card bend,36.0,
HW-AE86-01,AE86-TRUENO,Hot Wheels,Toyota AE86 Trueno,JDM,A,white,2023.0,Mint,180.0,420.0,,,available,Instagram,2025-12-20,2025-10-10,,Box C,"New arrival, high demand",87.0,
HW-R34-02,SKYLINE-R34,Hot Wheels,Nissan Skyline R34,JDM,B,blue,2023.0,Mint,280.0,650.0,,,available,Instagram,2025-12-05,2025-10-10,,Box A,Clean card,87.0,
HW-R34-03,SKYLINE-R34,Hot Wheels,Nissan Skyline R34,JDM,C,silver,2023.0,Mint,280.0,670.0,,,available,Instagram,2025-12-06,2025-10-10,,Box A,Silver variant,87.0,
HW-SUPRA-02,SUPRA-MK4,Hot Wheels,Toyota Supra MK4,JDM,D,black,2023.0,Mint,260.0,620.0,,,available,WhatsApp,2025-12-06,2025-10-10,,Box B,Black variant,87.0,
HW-SUPRA-03,SUPRA-MK4,Hot Wheels,Toyota Supra MK4,JDM,E,red,2023.0,Mint,260.0,680.0,,,available,Instagram,2025-12-07,2025-10-10,,Box B,Red demand high,87.0,
HW-AE86-02,AE86-TRUENO,Hot Wheels,Toyota AE86 Trueno,JDM,F,white,2023.0,Mint,180.0,430.0,,,available,Instagram,2025-12-08,2025-10-10,,Box C,New stock,87.0,
HW-AE86-03,AE86-TRUENO,Hot Wheels,Toyota AE86 Trueno,JDM,G,black,2023.0,Mint,190.0,450.0,,,available,WhatsApp,2025-12-08,2025-10-10,,Box C,Black premium,87.0,
HW-GTR-01,GTR-R35,Hot Wheels,Nissan GT-R R35,Supercar,A,grey,2022.0,Mint,300.0,720.0,,,available,Instagram,2025-12-09,2025-10-10,,Box D,Premium supercar,87.0,
HW-GTR-02,GTR-R35,Hot Wheels,Nissan GT-R R35,Supercar,B,white,2022.0,Mint,300.0,700.0,,,available,Instagram,2025-12-09,2025-10-10,,Box D,White variant,87.0,
HW-GTR-03,GTR-R35,Hot Wheels,Nissan GT-R R35,Supercar,C,blue,2022.0,Mint,310.0,740.0,,,available,WhatsApp,2025-12-10,2025-10-10,,Box D,Blue premium,87.0,
HW-MUST-02,MUSTANG-GT,Hot Wheels,Ford Mustang GT,Muscle,E,yellow,2021.0,Good,210.0,460.0,,,available,Instagram,2025-12-10,2025-10-10,,Box E,Yellow sporty,87.0,
HW-MUST-03,MUSTANG-GT,Hot Wheels,Ford Mustang GT,Muscle,F,red,2021.0,Mint,220.0,500.0,,,available,Instagram,2025-12-11,2025-10-10,,Box E,Red fast seller,87.0,
HW-CAM-01,CAMARO-ZL1,Hot Wheels,Chevrolet Camaro ZL1,Muscle,A,black,2022.0,Mint,230.0,520.0,,,available,WhatsApp,2025-12-11,2025-10-10,,Box F,High demand,87.0,
HW-CAM-02,CAMARO-ZL1,Hot Wheels,Chevrolet Camaro ZL1,Muscle,B,blue,2022.0,Mint,230.0,510.0,,,available,Instagram,2025-12-12,2025-10-10,,Box F,Blue muscle,87.0,
HW-CAM-03,CAMARO-ZL1,Hot Wheels,Chevrolet Camaro ZL1,Muscle,C,white,2022.0,Mint,240.0,540.0,,,available,Instagram,2025-12-12,2025-10-10,,Box F,White premium,87.0,
HW-LAM-01,LAMBORGHINI-HUR,Lamborghini,Huracán,Supercar,D,green,2023.0,Mint,350.0,900.0,,,available,Instagram,2025-12-13,2025-10-10,,Box G,Italian supercar,87.0,
HW-LAM-02,LAMBORGHINI-HUR,Lamborghini,Huracán,Supercar,E,yellow,2023.0,Mint,350.0,880.0,,,available,WhatsApp,2025-12-13,2025-10-10,,Box G,Yellow demand,87.0,
HW-LAM-03,LAMBORGHINI-HUR,Lamborghini,Huracán,Supercar,F,orange,2023.0,Mint,360.0,920.0,,,available,Instagram,2025-12-14,2025-10-10,,Box G,Orange premium,87.0,
HW-POR-01,PORSCHE-911,Hot Wheels,Porsche 911 GT3,Supercar,B,white,2023.0,Mint,330.0,800.0,,,available,Instagram,2025-12-14,2025-10-10,,Box H,911 GT3,87.0,
HW-POR-02,PORSCHE-911,Hot Wheels,Porsche 911 GT3,Supercar,C,black,2023.0,Mint,340.0,830.0,,,available,WhatsApp,2025-12-15,2025-10-10,,Box H,Black GT3,87.0,
HW-POR-03,PORSCHE-911,Hot Wheels,Porsche 911 GT3,Supercar,D,blue,2023.0,Mint,340.0,850.0,,,available,Instagram,2025-12-15,2025-10-10,,Box H,Blue GT3,87.0,
HW-NSX-04,NSX-2023,Hot Wheels,Honda NSX,Supercar,A,red,2023.0,Mint,320.0,780.0,,,available,Instagram,2025-01-02,2025-01-04,,Box AA,Red NSX premium,366.0,
HW-NSX-05,NSX-2023,Hot Wheels,Honda NSX,Supercar,B,black,2023.0,Mint,330.0,800.0,,,available,WhatsApp,2025-01-05,2025-01-08,,Box AA,Black NSX clean,362.0,
HW-CIV-04,CIVIC-TYPE-R,Hot Wheels,Honda Civic Type R,JDM,C,white,2022.0,Mint,210.0,470.0,,,available,Instagram,2025-01-03,2025-01-06,,Box AB,White Civic,364.0,
HW-CIV-05,CIVIC-TYPE-R,Hot Wheels,Honda Civic Type R,JDM,D,blue,2022.0,Mint,220.0,490.0,,,available,Instagram,2025-01-06,2025-01-09,,Box AB,Blue Civic,361.0,
HW-S15-04,SILVIA-S15,Hot Wheels,Nissan Silvia S15,JDM,E,purple,2023.0,Mint,240.0,580.0,,,available,WhatsApp,2025-01-07,2025-01-10,,Box AC,Purple Silvia,360.0,
HW-S15-05,SILVIA-S15,Hot Wheels,Nissan Silvia S15,JDM,F,white,2023.0,Mint,250.0,600.0,630.0,380.0,sold,Instagram,2025-01-01,2025-01-10,2025-01-10,Box AC,White Silvia sold,0.0,
HW-RX7-06,RX7-FD,Hot Wheels,Mazda RX-7 FD,JDM,G,orange,2022.0,Mint,260.0,650.0,,,available,Instagram,2025-01-04,2025-01-06,,Box AD,Orange RX7,364.0,
HW-RX7-07,RX7-FD,Hot Wheels,Mazda RX-7 FD,JDM,H,black,2022.0,Mint,270.0,680.0,720.0,450.0,sold,WhatsApp,2025-01-02,2025-01-05,2025-01-18,Box AD,Black RX7 sold,13.0,
HW-MUST-06,MUSTANG-GT,Hot Wheels,Ford Mustang GT,Muscle,A,red,2021.0,Mint,230.0,520.0,,,available,Instagram,2025-01-08,2025-01-11,,Box AE,Red Mustang,359.0,
HW-MUST-07,MUSTANG-GT,Hot Wheels,Ford Mustang GT,Muscle,B,black,2021.0,Good,210.0,480.0,500.0,290.0,sold,Instagram,2025-01-02,2025-01-04,2025-01-12,Box AE,Black Mustang sold,8.0,
